step,energy,temperature,entropy,free_energy,branching_factor,output_length,output_complexity,genome_bank_size,elite_count,mutations,replications,crossovers,learns
55,123.163408331891,0.5,0.5032583347756457,122.91177916450319,0.42857142857142855,2,0.0,1,0,1,1,1,0
56,122.66014999711535,0.5,1.0065166695512915,122.1568916623397,0.42857142857142855,2,0.0,1,0,1,1,1,0
57,121.66014999711535,0.5,1.0065166695512915,121.1568916623397,0.42857142857142855,2,0.0,1,0,1,1,1,0
58,118.66014999711535,0.5,1.0065166695512915,118.1568916623397,0.375,2,0.0,1,0,1,1,1,0
59,116.66014999711535,0.5,1.0065166695512915,116.1568916623397,0.375,2,0.0,1,0,2,1,1,0
60,115.66014999711535,0.5,1.0065166695512915,115.1568916623397,0.375,2,0.0,1,0,2,1,1,0
61,114.66014999711535,0.6,1.0065166695512915,114.05623999538457,0.375,2,0.0,1,0,2,1,1,0
62,104.66014999711535,0.6,1.0065166695512915,104.05623999538457,0.375,2,0.0,2,0,2,2,1,0
63,104.66014999711535,0.6,1.0065166695512915,104.05623999538457,0.375,2,0.0,2,0,2,2,1,0
64,98.66014999711535,0.6,1.0065166695512915,98.05623999538457,0.375,2,0.0,2,0,2,2,2,0
65,98.66014999711535,0.6,1.0065166695512915,98.05623999538457,0.375,2,0.0,2,0,2,2,2,0
66,97.66014999711535,0.6,1.0065166695512915,97.05623999538457,0.375,3,0.0,2,0,2,2,2,0
67,97.66014999711535,0.6,1.0065166695512915,97.05623999538457,0.375,3,0.0,2,0,2,2,2,0
68,96.66014999711535,0.6,1.0065166695512915,96.05623999538457,0.375,0,0.0,2,0,2,2,2,0
69,93.66014999711535,0.6,1.0065166695512915,93.05623999538457,0.4444444444444444,0,0.0,2,0,2,2,2,0
70,91.66014999711535,0.6,1.0065166695512915,91.05623999538457,0.4444444444444444,0,0.0,2,0,3,2,2,0
71,90.66014999711535,0.6,1.0065166695512915,90.05623999538457,0.4444444444444444,0,0.0,2,0,3,2,2,0
72,87.66014999711535,0.6,1.0065166695512915,87.05623999538457,0.4,0,0.0,2,0,3,2,2,0
73,85.66014999711535,0.6,1.0065166695512915,85.05623999538457,0.4,0,0.0,2,0,3,2,2,0
74,84.66014999711535,0.6,1.0065166695512915,84.05623999538457,0.4,0,0.0,2,0,3,2,2,0
75,83.66014999711535,0.5,1.0065166695512915,83.1568916623397,0.4,0,0.0,2,0,3,2,2,0
76,83.66014999711535,0.5,1.0065166695512915,83.1568916623397,0.4,0,0.0,2,0,3,2,2,0
77,82.66014999711535,0.5,1.0065166695512915,82.1568916623397,0.4,1,0.0,2,0,3,2,2,0
78,82.66014999711535,0.5,1.0065166695512915,82.1568916623397,0.4,1,0.0,2,0,3,2,2,0
79,82.66014999711535,0.5,1.0065166695512915,82.1568916623397,0.4,1,0.0,2,0,3,2,2,0
80,80.66014999711535,0.5,1.0065166695512915,80.1568916623397,0.4,1,0.0,2,0,3,2,2,0
81,79.66014999711535,0.5,1.0065166695512915,79.1568916623397,0.4,1,0.0,2,0,3,2,2,0
82,78.66014999711535,0.5,1.0065166695512915,78.1568916623397,0.4,1,0.0,2,0,3,2,2,0
83,76.66014999711535,0.5,1.0065166695512915,76.1568916623397,0.4,1,0.0,2,0,3,2,2,0
84,75.66014999711535,0.5,1.0065166695512915,75.1568916623397,0.4,1,0.0,2,0,3,2,2,0
85,76.66014999711535,0.5,1.0065166695512915,76.1568916623397,0.4,1,0.0,2,0,3,2,2,0
86,75.32681666378203,0.5,1.0065166695512915,74.82355832900637,0.4,1,0.0,2,0,3,2,2,0
87,74.32681666378203,0.5,1.0065166695512915,73.82355832900637,0.4,2,0.0,2,0,3,2,2,0
88,74.32681666378203,0.5,1.0065166695512915,73.82355832900637,0.4,2,0.0,2,0,3,2,2,0
89,71.32681666378203,0.5,1.0065166695512915,70.82355832900637,0.36363636363636365,2,0.0,2,0,3,2,2,0
90,70.82355832900637,0.5,1.5097750043269373,70.0686708268429,0.36363636363636365,2,0.0,2,0,3,2,2,0
91,69.82355832900637,0.5,1.5097750043269373,69.0686708268429,0.36363636363636365,2,0.0,2,0,3,2,2,0
92,69.82355832900637,0.5,1.5097750043269373,69.0686708268429,0.36363636363636365,2,0.0,2,0,3,2,2,0
93,67.82355832900637,0.5,1.5097750043269373,67.0686708268429,0.36363636363636365,2,0.0,2,0,4,2,2,0
94,66.82355832900637,0.5,1.5097750043269373,66.0686708268429,0.36363636363636365,2,0.0,2,0,4,2,2,0
95,65.82355832900637,0.6,1.5097750043269373,64.91769332641022,0.36363636363636365,2,0.0,2,0,4,2,2,0
96,55.823558329006374,0.6,1.5097750043269373,54.91769332641021,0.36363636363636365,2,0.0,3,0,4,3,2,0
97,55.823558329006374,0.6,1.5097750043269373,54.91769332641021,0.36363636363636365,2,0.0,3,0,4,3,2,0
98,49.823558329006374,0.6,1.5097750043269373,48.91769332641021,0.36363636363636365,2,0.0,3,0,4,3,3,0
99,49.823558329006374,0.6,1.5097750043269373,48.91769332641021,0.36363636363636365,2,0.0,3,0,4,3,3,0
100,48.823558329006374,0.6,1.5097750043269373,47.91769332641021,0.36363636363636365,3,0.0,3,0,4,3,3,0
101,47.823558329006374,0.6,1.5097750043269373,46.91769332641021,0.36363636363636365,3,0.0,3,0,4,3,3,0
102,47.823558329006374,0.6,1.5097750043269373,46.91769332641021,0.36363636363636365,3,0.0,3,0,4,3,3,0
103,45.823558329006374,0.6,1.5097750043269373,44.91769332641021,0.36363636363636365,3,0.0,3,0,4,3,3,0
104,44.823558329006374,0.6,1.5097750043269373,43.91769332641021,0.36363636363636365,3,0.0,3,0,4,3,3,0
105,43.823558329006374,0.6,1.5097750043269373,42.91769332641021,0.36363636363636365,3,0.0,3,0,4,3,3,0
106,41.823558329006374,0.6,1.5097750043269373,40.91769332641021,0.36363636363636365,3,0.0,3,0,4,3,3,0
107,40.823558329006374,0.6,1.5097750043269373,39.91769332641021,0.36363636363636365,3,0.0,3,0,4,3,3,0
108,41.823558329006374,0.6,1.5097750043269373,40.91769332641021,0.36363636363636365,3,0.0,3,0,4,3,3,0
109,40.49022499567304,0.6,1.5097750043269373,39.58435999307687,0.36363636363636365,3,0.0,3,0,4,3,3,0
110,39.49022499567304,0.6,1.5097750043269373,38.58435999307687,0.36363636363636365,4,0.0,3,0,4,3,3,0
111,39.49022499567304,0.6,1.5097750043269373,38.58435999307687,0.36363636363636365,4,0.0,3,0,4,3,3,0
112,36.49022499567304,0.6,1.5097750043269373,35.58435999307687,0.4166666666666667,4,0.0,3,0,4,3,3,0
113,35.986966660897394,0.6,2.013033339102583,34.779146657435845,0.4166666666666667,4,0.0,3,0,4,3,3,0
114,34.986966660897394,0.6,2.013033339102583,33.779146657435845,0.4166666666666667,4,0.0,3,0,4,3,3,0
115,34.986966660897394,0.6,2.013033339102583,33.779146657435845,0.4166666666666667,4,0.0,3,0,4,3,3,0
116,33.986966660897394,0.6,2.013033339102583,32.779146657435845,0.4166666666666667,5,0.0,3,0,4,3,3,0
117,32.986966660897394,0.6,2.013033339102583,31.779146657435845,0.4166666666666667,5,0.0,3,0,4,3,3,0
118,31.986966660897394,0.7,2.013033339102583,30.577843323525585,0.4166666666666667,5,0.0,3,0,4,3,3,0
119,21.986966660897394,0.7,2.013033339102583,20.577843323525585,0.4166666666666667,5,0.0,4,0,4,4,3,0
120,21.986966660897394,0.7,2.013033339102583,20.577843323525585,0.4166666666666667,5,0.0,4,0,4,4,3,0
121,15.986966660897394,0.7,2.013033339102583,14.577843323525586,0.4166666666666667,5,0.0,4,0,4,4,4,0
122,15.986966660897394,0.7,2.013033339102583,14.577843323525586,0.4166666666666667,5,0.0,4,0,4,4,4,0
123,14.986966660897394,0.7,2.013033339102583,13.577843323525586,0.4166666666666667,6,0.0,4,0,4,4,4,0
124,13.986966660897394,0.7,2.013033339102583,12.577843323525586,0.4166666666666667,6,0.0,4,0,4,4,4,0
125,12.986966660897394,0.7,2.013033339102583,11.577843323525586,0.4166666666666667,0,0.0,4,0,4,4,4,0
126,9.653633327564062,0.7,2.013033339102583,8.244509990192254,0.46153846153846156,0,0.0,4,0,4,4,4,0
127,7.653633327564062,0.7,2.013033339102583,6.244509990192254,0.46153846153846156,0,0.0,4,0,5,4,4,0
128,6.320299994230729,0.7,2.013033339102583,4.911176656858921,0.46153846153846156,0,0.0,4,0,5,4,4,0
129,2.986966660897396,0.7,2.013033339102583,1.5778433235255882,0.42857142857142855,0,0.0,4,0,5,4,4,0
130,0.9869666608973962,0.7,2.013033339102583,-0.4221566764744118,0.42857142857142855,0,0.0,4,0,5,4,4,0
131,-0.3463666724359371,0.7,2.013033339102583,-1.755490009807745,0.42857142857142855,0,0.0,4,0,5,4,4,0
